query,resolved_name,matched_name,resolved_status,matched_status,match_type,taxid
Psilotum nudum (L.) P.Beauv.,Psilotum nudum (L.) P. Beauv.,Psilotum nudum (L.) P. Beauv.,accepted,accepted,auto_punct,3240
Equisetum arvense L.,Equisetum arvense L.,Equisetum arvense L.,accepted,accepted,exact,3258
Equisetum giganteum L.,Equisetum giganteum L.,Equisetum giganteum L.,accepted,accepted,exact,3259
Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,Equisetum telmateia Ehrh.,accepted,accepted,exact,3260
Equisetum scirpoides Michx.,Equisetum scirpoides Michx.,Equisetum scirpoides Michx.,accepted,accepted,exact,3261
Equisetum hyemale L.,Equisetum hyemale L.,Equisetum hyemale L.,accepted,accepted,exact,3262
Angiopteris lygodiifolia Rosenst.,Angiopteris lygodiifolia Rosenst.,Angiopteris lygodiifolia Rosenst.,accepted,accepted,exact,3267
Dicksonia antarctica Labill.,Dicksonia antarctica Labill.,Dicksonia antarctica Labill.,accepted,accepted,exact,3271
Matteuccia struthiopteris (L.) Tod.,Matteuccia struthiopteris (L.) Tod.,Matteuccia struthiopteris (L.) Tod.,accepted,accepted,exact,3277
Polystichum munitum (Kaulf.) C.Presl,Polystichum munitum (Kaulf.) C. Presl,Polystichum munitum (Kaulf.) C. Presl,accepted,accepted,auto_punct,3279
Onoclea sensibilis L.,Onoclea sensibilis L.,Onoclea sensibilis L.,accepted,accepted,exact,3281
Osmundastrum cinnamomeum (L.) C.Presl,Osmundastrum cinnamomeum (L.) C. Presl,Osmundastrum cinnamomeum (L.) C. Presl,accepted,accepted,auto_punct,3284
Osmunda regalis L.,Osmunda regalis L.,Osmunda regalis L.,accepted,accepted,exact,3285
Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas (L.) Schott,Dryopteris filix-mas (L.) Schott,accepted,accepted,exact,3289
Anemia phyllitidis (L.) Sw.,Anemia phyllitidis (L.) Sw.,Anemia phyllitidis (L.) Sw.,accepted,accepted,exact,12940
