n_fos,minimum_age,node_calibrated,fossil_taxon,affinities_group,affinities,monophyly,number_tips,mrca,stem_mrca,tip_1,tip_2
59,33.9,stem Cyclosorus,Cyclosorus scutum,stem,Cyclosorus,Monotypic,1,NA,9117,Ampelopteris_prolifera,Cyclosorus_interruptus
100,163.5,stem Schizaeaceae,Klukia exilis,stem,Schizaeaceae,Yes,23,10986,10907,Anemia_herzogii,Actinostachys_digitata
80,168.3,stem Lygodium,Stachypteris spicans,stem,Lygodium,Yes,19,11008,10906,Anemia_herzogii,Lygodium_articulatum
31,174.1,crown Marattiaceae,Marattia aganzhenensis,crown,Marattiaceae,Yes,83,11399,5810,Angiopteris_cartilagidens,Danaea_erecta
37,47.8,stem Asplenium,Asplenium sanshuiense,stem,Asplenium,Yes,315,9734,9733,Asplenium_obovatum,Hymenasplenium_praestans
119,129.4,stem Athyrium,Athyrium cretaceum,stem,Athyrium,Yes,87,9395,9394,Athyrium_otophorum,Pseudathyrium_alpestre
38,83.6,stem Azolla,Glomerisporites pupus,stem,Azolla,Yes,6,10896,10895,Azolla_microphylla,Salvinia_natans
64,346.7,stem Equisetales,Protocalamostachys farringtonii,stem,Equisetales,Yes,20,11574,11481,Botrychium_gallicomontanum,Equisetum_bogotense
36,23.03,stem Acrostichum,Acrostichum palaeoaureum,stem,Acrostichum,Yes,3,5822,5821,Ceratopteris_pteridoides,Acrostichum_danaeifolium
129,72.1,crown Thelypteridaceae,Thelypteris goldianum,crown,Thelypteridaceae,Yes,257,8950,8949,Christella_procera,Macrothelypteris_polypodioides
9,33.9,crown Cibotiaceae,Cibotium oregonense,crown,Cibotiaceae,Yes,10,10826,10825,Cibotium_menziesii,Cibotium_arachnoideum
39,86.3,stem Cibotiaceae,Cibotium iwatense,stem,Cibotiaceae,Yes,10,10826,10825,Cibotium_menziesii,Metaxya_elongata
72,113,stem Hymenophyllum,Hymenophyllum iwatsukii,stem,Hymenophyllum,Yes,138,11245,11089,Crepidomanes_inopinatum,Hymenophyllum_scabrum
10,13.82,crown Culcitaceae,Culcita emberi,crown,Culcitaceae,Yes,2,10843,10842,Culcita_macrocarpa,Culcita_coniifolia
42,93.9,stem Cyathea,Kuylisporites mirabilis,stem,Cyathea,Yes,152,10555,10430,Cyathea_pungens,Alsophila_manniana
46,129.4,stem Cyatheaceae,Cibotiocaulis tateiwai,stem,Cyatheaceae,Yes,367,10428,10427,Cyathea_pungens,Calochlaena_straminea
20,7.246,crown Cyathea,Cyatheaceae sp. indet.,crown,Cyathea,Yes,152,10555,10430,Cyathea_pungens,Cyathea_robertsiana
21,168.3,crown Cyatheaceae+Dicksoniaceae+Cibotiaceae+Metaxyaceae,Dicksonia mariopteris,crown,Cyatheaceae+Dicksoniaceae+Cibotiaceae+Metaxyaceae,Yes,415,10426,10425,Cyathea_pungens,Metaxya_elongata
