n_fos,minimum_age,node_calibrated,fossil_taxon,affinities_group,affinities,monophyly,number_tips,mrca,stem_mrca,tip_1,tip_2
59,33.9,stem Cyclosorus,Cyclosorus scutum,stem,Cyclosorus,Monotypic,1,NA,9057,Ampelopteris_prolifera,Cyclosorus_interruptus
100,163.5,stem Schizaeaceae,Klukia exilis,stem,Schizaeaceae,Yes,23,10926,10847,Anemia_herzogii,Actinostachys_digitata
80,168.3,stem Lygodium,Stachypteris spicans,stem,Lygodium,Yes,18,10948,10846,Anemia_herzogii,Lygodium_palmatum
31,174.1,crown Marattiaceae,Marattia aganzhenensis,crown,Marattiaceae,Yes,84,11329,5775,Angiopteris_cartilagidens,Danaea_simplicifolia
37,47.8,stem Asplenium,Asplenium sanshuiense,stem,Asplenium,Yes,315,9672,9671,Asplenium_obovatum,Hymenasplenium_hoffmannii
119,129.4,stem Athyrium,Athyrium cretaceum,stem,Athyrium,Yes,87,9334,9333,Athyrium_delavayi,Pseudathyrium_alpestre
38,83.6,stem Azolla,Glomerisporites pupus,stem,Azolla,Yes,6,10836,10835,Azolla_microphylla,Salvinia_natans
64,346.7,stem Equisetales,Protocalamostachys farringtonii,stem,Equisetales,Yes,20,11504,11412,Botrychium_montanum,Equisetum_bogotense
36,23.03,stem Acrostichum,Acrostichum palaeoaureum,stem,Acrostichum,Yes,3,5786,5785,Ceratopteris_pteridoides,Acrostichum_danaeifolium
129,72.1,crown Thelypteridaceae,Thelypteris goldianum,crown,Thelypteridaceae,Yes,257,8890,8889,Christella_procera,Macrothelypteris_polypodioides
9,33.9,crown Cibotiaceae,Cibotium oregonense,crown,Cibotiaceae,Yes,9,10767,10766,Cibotium_menziesii,Cibotium_arachnoideum
39,86.3,stem Cibotiaceae,Cibotium iwatense,stem,Cibotiaceae,Yes,9,10767,10766,Cibotium_menziesii,Metaxya_parkeri
72,113,stem Hymenophyllum,Hymenophyllum iwatsukii,stem,Hymenophyllum,Yes,129,11184,11028,Crepidomanes_inopinatum,Hymenophyllum_scabrum
10,13.82,crown Culcitaceae,Culcita emberi,crown,Culcitaceae,Yes,2,10783,10782,Culcita_macrocarpa,Culcita_coniifolia
42,93.9,stem Cyathea,Kuylisporites mirabilis,stem,Cyathea,Yes,153,10495,10368,Cyathea_pungens,Alsophila_stelligera
46,129.4,stem Cyatheaceae,Cibotiocaulis tateiwai,stem,Cyatheaceae,Yes,370,10366,10365,Cyathea_pungens,Calochlaena_straminea
20,7.246,crown Cyathea,Cyatheaceae sp. indet.,crown,Cyathea,Yes,153,10495,10368,Cyathea_pungens,Cyathea_robertsiana
21,168.3,crown Cyatheaceae+Dicksoniaceae+Cibotiaceae+Metaxyaceae,Dicksonia mariopteris,crown,Cyatheaceae+Dicksoniaceae+Cibotiaceae+Metaxyaceae,Yes,417,10364,10363,Cyathea_pungens,Metaxya_parkeri
56,174.1,stem Cyatheales,Coniopteris lobata,stem,Cyatheales,Yes,432,10363,10362,Cyathea_pungens,Salvinia_natans
74,113,stem Lophosoria,Lophosoria cupulatus,stem,Lophosoria,Yes,2,10765,10740,Dicksonia_archboldii,Lophosoria_quesadae
68,272.95,stem Gleicheniaceae,Szea sinensis,stem,Gleicheniaceae,Yes,52,10977,10965,Dicranopteris_baliensis,Phanerosorus_major
90,242,stem Matoniaceae,Tomaniopteris katonii,stem,Matoniaceae,Yes,4,10974,10966,Dipteris_chinensis,Phanerosorus_major
