species,locus,accession,seq_len,sci_name,ncbi_name,ncbi_taxid,outgroup
Abacopteris_aspera,matK,KF420344,733,Abacopteris aspera (C. Presl) Ching,Abacopteris aspera (C.Presl) Ching,1358739,FALSE
Abacopteris_gymnopteridifrons,plastome,MT130561,67494,Abacopteris gymnopteridifrons (Hayata) Ching,Abacopteris gymnopteridifrons (Hayata) Ching,1033662,FALSE
Abacopteris_nudata,rbcL,JN572370,1268,Abacopteris nudata (Roxb.) S. E. Fawc. & A. R. Sm.,Pronephrium nudatum (Roxb.) Holttum,1132559,FALSE
Abacopteris_nudata,rps4,JN572208,540,Abacopteris nudata (Roxb.) S. E. Fawc. & A. R. Sm.,Pronephrium nudatum (Roxb.) Holttum,1132559,FALSE
Abacopteris_nudata,rps4-trnS,JN572208,380,Abacopteris nudata (Roxb.) S. E. Fawc. & A. R. Sm.,Pronephrium nudatum (Roxb.) Holttum,1132559,FALSE
Abacopteris_nudata,trnL-trnF,JN572285,282,Abacopteris nudata (Roxb.) S. E. Fawc. & A. R. Sm.,Pronephrium nudatum (Roxb.) Holttum,1132559,FALSE
Abrodictyum_angustimarginatum,rbcL,MF782871,1206,Abrodictyum angustimarginatum (Bonap.) J. P. Roux,Abrodictyum angustimarginatum (Bonap.) J.P.Roux,2126960,FALSE
Abrodictyum_asae-grayi,rbcL,MT215961,1309,Abrodictyum asae-grayi (Bosch) Ebihara & K. Iwats.,Abrodictyum asae-grayi (Bosch) Ebihara & K.Iwats.,381224,FALSE
Abrodictyum_boninense,rbcL,AB257472,1206,Abrodictyum boninense Tagawa & K. Iwats. ex K. Iwats.,Abrodictyum boninense Tagawa & K.Iwats.,381218,FALSE
Abrodictyum_brassii,rbcL,AB257483,1206,Abrodictyum brassii (Croxall) Ebihara & K. Iwats.,Abrodictyum brassii (Croxall) Ebihara & K.Iwats.,381221,FALSE
Abrodictyum_caudatum,rbcL,EU122957,1238,Abrodictyum caudatum (Brack.) Ebihara & K. Iwats.,Abrodictyum caudatum (Brack.) Ebihara & K.Iwats.,221313,FALSE
Abrodictyum_cylindratum,rbcL,MF782872,1030,Abrodictyum cylindratum Dubuisson,Abrodictyum cylindratum Dubuisson,2126961,FALSE
Abrodictyum_dentatum,rbcL,MT657794,1307,Abrodictyum dentatum (Bosch) Ebihara & K. Iwats.,Abrodictyum dentatum (Bosch) Ebihara & K.Iwats.,381233,FALSE
Abrodictyum_dregei,rbcL,KX913317,1206,Abrodictyum dregei (Bosch) Dubuisson & Rouhan,Abrodictyum pseudorigidum Bauret & Dubuisson,1631470,FALSE
Abrodictyum_elongatum,rbcL,AY175802,1206,Abrodictyum elongatum (A. Cunn.) Ebihara & K. Iwats.,Abrodictyum elongatum (A.Cunn.) Ebihara & K.Iwats.,221317,FALSE
Abrodictyum_flavofuscum,rbcL,AY175804,1206,Abrodictyum flavofuscum (Bosch) Ebihara & K. Iwats.,Trichomanes flavofuscum,221319,FALSE
Abrodictyum_laetum,rbcL,AB257478,1206,Abrodictyum laetum (Bosch) Ebihara & K. Iwats.,Abrodictyum laetum (Bosch) Ebihara & K.Iwats.,381247,FALSE
Abrodictyum_obscurum,rbcL,AB257480,1206,Abrodictyum obscurum (Blume) Ebihara & K. Iwats.,Abrodictyum obscurum (Blume) Ebihara & K.Iwats.,381253,FALSE
Abrodictyum_pachyphlebium,rbcL,KP153238,1206,Abrodictyum pachyphlebium (C. Chr.) Bauret & Dubuisson,Abrodictyum pachyphlebium (C.Chr.) Bauret & Dubuisson,1631471,FALSE
Abrodictyum_parviflorum,rbcL,AY175803,1206,Abrodictyum parviflorum (Poir.) Bauret & Dubuisson,Abrodictyum meifolium (Bory ex Willd.) Ebihara & K.Iwats.,221325,FALSE
Abrodictyum_rigidum,rbcL,KX913315,1206,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,192770,FALSE
Abrodictyum_rigidum,rps4,AY095137,584,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,192770,FALSE
Abrodictyum_rigidum,rps4-trnS,AY095137,426,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,Abrodictyum rigidum (Sw.) Ebihara & Dubuisson,192770,FALSE
Abrodictyum_schlechteri,rbcL,MT657802,1219,Abrodictyum schlechteri (Brause) Ebihara & K. Iwats.,Abrodictyum schlechteri (Brause) Ebihara & K.Iwats.,381259,FALSE
