locus,start,end
accD,1,969
atpA,970,2780
atpB,2781,4262
atpE,4263,4674
atpF,4675,6130
atpH,6131,6378
atpI,6379,7125
ccsA,7126,8127
cemA,8128,9684
chlB,9685,11241
chlL,11242,12168
chlN,12169,13600
clpP,13601,16057
infA,16058,16313
matK,16314,17846
ndhA,17847,20271
ndhC,20272,20715
ndhD,20716,22262
ndhE,22263,22568
ndhF,22569,24920
ndhG,24921,25534
ndhH,25535,26749
ndhI,26750,27333
ndhJ,27334,27860
ndhK,27861,28756
petA,28757,29728
petB,29729,31559
petD,31560,33003
petG,33004,33120
petL,33121,33323
petN,33324,33431
psaA,33432,35684
psaB,35685,37889
psaC,37890,38135
psaI,38136,38246
psaJ,38247,38381
psbB,38382,39922
psbC,39923,41386
psbD,41387,42448
psbE,42449,42700
psbF,42701,42820
psbH,42821,43045
psbI,43046,43156
psbJ,43157,43285
psbK,43286,43465
psbL,43466,43582
psbM,43583,43690
psbN,43691,43828
psbT,43829,43946
psbZ,43947,44138
rbcL,44139,45566
rpl14,45567,45959
rpl16,45960,47490
rpl20,47491,47849
rpl21,47850,48251
rpl22,48252,48688
rpl23,48689,48980
rpl32,48981,49218
rpl33,49219,49420
rpl36,49421,49545
rpoA,49546,50602
rpoB,50603,53855
rpoC1,53856,56984
rpoC2,56985,61474
rps11,61475,61870
rps14,61871,62251
rps15,62252,62536
rps16,62537,64085
rps18,64086,64342
rps19,64343,64621
rps2,64622,65377
rps3,65378,66066
rps4,66067,66683
rps8,66684,67085
ycf12,67086,67187
ycf3,67188,69400
ycf4,69401,69986
trnL-trnF,69987,72896
rps4-trnS,72897,74862
